energy (keV),counts
0.0,0
0.04197893705608614,0
0.08395787411217227,0
0.12593681116825842,0
0.16791574822434455,0
0.20989468528043068,0
0.25187362233651683,0
0.29385255939260296,0
0.3358314964486891,0
0.3778104335047752,0
0.41978937056086135,0
0.4617683076169475,0
0.5037472446730337,2998899
0.5457261817291198,2017518
0.5877051187852059,973389
0.6296840558412921,437125
0.6716629928973782,188817
0.7136419299534643,81588
0.7556208670095504,38813
0.7975998040656366,21691
0.8395787411217227,14424
0.8815576781778088,10807
0.923536615233895,8638
0.9655155522899811,7065
1.0074944893460673,5794
1.0494734264021535,4707
1.0914523634582396,4139
1.1334313005143257,3493
1.1754102375704119,3369
1.217389174626498,3094
1.2593681116825841,2979
1.3013470487386702,2934
1.3433259857947564,2847
1.3853049228508425,2608
1.4272838599069286,2331
1.4692627969630148,2073
1.511241734019101,1903
1.553220671075187,1577
1.5951996081312732,1330
1.6371785451873593,1153
1.6791574822434454,931
1.7211364192995315,735
1.7631153563556177,604
1.8050942934117038,501
1.84707323046779,408
1.889052167523876,348
1.9310311045799622,279
1.9730100416360483,229
2.0149889786921347,194
2.0569679157482206,138
2.098946852804307,101
2.140925789860393,68
2.182904726916479,39
2.224883663972565,24
2.2668626010286514,21
2.3088415380847374,11
2.3508204751408237,12
2.3927994121969096,10
2.434778349252996,6
2.476757286309082,10
2.5187362233651682,4
2.560715160421254,5
2.6026940974773405,4
2.6446730345334264,3
2.6866519715895127,7
2.728630908645599,3
2.770609845701685,4
2.8125887827577714,9
2.8545677198138573,1
2.8965466568699436,7
2.9385255939260295,7
2.980504530982116,6
3.022483468038202,5
3.064462405094288,5
3.106441342150374,8
3.1484202792064604,4
3.1903992162625463,6
3.2323781533186327,4
3.2743570903747186,3
3.316336027430805,3
3.358314964486891,1
3.400293901542977,2
3.442272838599063,2
3.4842517756551494,2
3.5262307127112353,5
3.5682096497673217,8
3.6101885868234076,1
3.652167523879494,3
3.69414646093558,4
3.736125397991666,4
3.778104335047752,1
3.8200832721038385,5
3.8620622091599244,7
3.9040411462160107,8
3.9460200832720966,5
3.987999020328183,4
4.029977957384269,4
4.071956894440356,5
4.113935831496441,3
4.1559147685525275,6
4.197893705608614,4
4.2398726426647,6
4.281851579720786,3
4.323830516776872,6
4.365809453832958,7
4.407788390889045,5
4.44976732794513,2
4.4917462650012165,6
4.533725202057303,9
4.575704139113389,2
4.617683076169475,5
4.659662013225561,4
4.701640950281647,8
4.743619887337734,9
4.785598824393819,9
4.827577761449906,5
4.869556698505992,5
4.911535635562078,4
4.953514572618164,5
4.99549350967425,9
5.0374724467303365,6
5.079451383786423,4
5.121430320842508,5
5.163409257898595,4
5.205388194954681,1
5.247367132010767,4
5.289346069066853,6
5.331325006122939,3
5.3733039431790255,1
5.415282880235112,2
5.457261817291198,4
5.499240754347284,10
5.54121969140337,3
5.583198628459456,6
5.625177565515543,5
5.667156502571628,5
5.7091354396277145,5
5.751114376683801,5
5.793093313739887,1
5.835072250795973,7
5.877051187852059,3
5.919030124908145,5
5.961009061964232,4
6.002987999020317,4
6.044966936076404,2
6.08694587313249,6
6.128924810188576,2
6.170903747244662,4
6.212882684300748,9
6.254861621356834,10
6.296840558412921,5
6.338819495469006,4
6.380798432525093,4
6.422777369581179,1
6.464756306637265,5
6.506735243693351,8
