energy (keV),counts
0.0,0
0.04133521671251203,0
0.08267043342502406,0
0.12400565013753609,0
0.16534086685004812,0
0.20667608356256015,0
0.24801130027507218,0
0.2893465169875842,0
0.33068173370009624,0
0.3720169504126083,0
0.4133521671251203,0
0.4546873838376323,0
0.49602260055014435,468714
0.5373578172626564,318313
0.5786930339751684,154955
0.6200282506876804,70774
0.6613634674001925,30974
0.7026986841127045,13725
0.7440339008252166,6509
0.7853691175377285,3654
0.8267043342502406,2298
0.8680395509627526,1788
0.9093747676752646,1342
0.9507099843877767,1089
0.9920452011002887,923
1.0333804178128008,765
1.0747156345253128,653
1.1160508512378249,561
1.1573860679503367,523
1.1987212846628488,492
1.2400565013753608,496
1.2813917180878729,457
1.322726934800385,412
1.364062151512897,433
1.405397368225409,316
1.4467325849379211,323
1.4880678016504332,255
1.529403018362945,223
1.570738235075457,172
1.6120734517879691,129
1.6534086685004812,114
1.6947438852129932,100
1.7360791019255053,79
1.7774143186380174,61
1.8187495353505292,69
1.8600847520630412,62
1.9014199687755533,56
1.9427551854880654,36
1.9840904022005774,48
2.0254256189130895,27
2.0667608356256015,17
2.1080960523381136,11
2.1494312690506256,13
2.1907664857631377,11
2.2321017024756498,5
2.273436919188162,1
2.3147721359006734,0
2.3561073526131855,3
2.3974425693256975,0
2.4387777860382096,0
2.4801130027507217,0
2.5214482194632337,0
2.5627834361757458,0
2.604118652888258,1
2.64545386960077,0
2.686789086313282,1
2.728124303025794,0
2.769459519738306,0
2.810794736450818,0
2.85212995316333,0
2.8934651698758422,0
2.9348003865883543,0
2.9761356033008664,1
3.017470820013378,0
3.05880603672589,0
3.100141253438402,0
3.141476470150914,0
3.182811686863426,0
3.2241469035759382,0
3.2654821202884503,0
3.3068173370009624,0
3.3481525537134744,0
3.3894877704259865,0
3.4308229871384985,0
3.4721582038510106,0
3.5134934205635227,0
3.5548286372760347,0
3.5961638539885468,0
3.6374990707010584,0
3.6788342874135704,0
3.7201695041260825,1
3.7615047208385946,0
3.8028399375511066,0
3.8441751542636187,1
3.8855103709761307,0
3.926845587688643,1
3.968180804401155,1
4.009516021113667,0
4.050851237826179,0
4.092186454538691,0
4.133521671251203,0
4.174856887963715,0
4.216192104676227,0
4.257527321388739,0
4.298862538101251,1
4.340197754813763,0
4.381532971526275,0
4.4228681882387875,0
4.4642034049512995,0
4.505538621663812,0
4.546873838376324,0
4.588209055088836,1
4.629544271801347,0
4.670879488513859,0
4.712214705226371,0
4.753549921938883,0
4.794885138651395,0
4.836220355363907,0
4.877555572076419,0
4.918890788788931,0
4.960226005501443,0
5.001561222213955,0
5.042896438926467,1
5.0842316556389795,0
5.1255668723514916,1
5.166902089064004,0
5.208237305776516,0
5.249572522489028,1
5.29090773920154,0
5.332242955914052,0
5.373578172626564,0
5.414913389339076,0
5.456248606051588,0
5.4975838227641,0
5.538919039476612,0
5.580254256189124,0
5.621589472901636,1
5.662924689614148,1
5.70425990632666,0
5.745595123039172,0
5.7869303397516845,0
5.8282655564641965,0
5.869600773176709,0
5.910935989889221,1
5.952271206601733,0
5.993606423314244,0
6.034941640026756,0
6.076276856739268,1
6.11761207345178,0
6.158947290164292,0
6.200282506876804,0
6.241617723589316,0
6.282952940301828,0
6.32428815701434,0
6.365623373726852,1
6.406958590439364,0
6.4482938071518765,1
6.489629023864389,0
6.530964240576901,1
6.572299457289413,0
6.613634674001925,0
6.654969890714437,0
6.696305107426949,0
6.737640324139461,0
6.778975540851973,0
6.820310757564485,1
6.861645974276997,0
6.902981190989509,0
6.944316407702021,0
