energy (keV),counts
3.785666690586273,14
3.8268152415709062,19
3.86796379255554,28
3.909112343540173,23
3.9502608945248063,21
3.99140944550944,26
4.032557996494074,23
4.073706547478706,25
4.11485509846334,33
4.156003649447974,29
4.197152200432607,37
4.23830075141724,29
4.279449302401874,30
4.3205978533865075,49
4.36174640437114,46
4.402894955355774,61
4.444043506340408,57
4.48519205732504,70
4.526340608309674,66
4.567489159294308,59
4.608637710278941,67
4.649786261263574,62
4.690934812248208,82
4.732083363232841,56
4.773231914217474,90
4.814380465202108,84
4.8555290161867415,80
4.896677567171375,75
4.937826118156008,69
4.978974669140642,62
5.020123220125275,52
5.061271771109908,44
5.102420322094542,40
5.143568873079175,28
5.184717424063809,37
5.225865975048442,19
5.267014526033075,16
5.308163077017709,21
5.349311628002342,18
5.3904601789869755,8
5.431608729971609,15
5.472757280956243,11
5.513905831940876,12
5.555054382925509,5
5.596202933910143,14
5.637351484894776,9
5.678500035879409,19
5.719648586864043,7
5.760797137848677,11
5.801945688833309,6
5.843094239817943,9
5.884242790802577,14
5.9253913417872095,12
5.966539892771843,10
6.007688443756477,11
6.0488369947411105,9
6.089985545725743,11
6.131134096710377,11
6.172282647695011,10
6.213431198679643,13
6.254579749664277,13
6.295728300648911,11
6.336876851633543,13
6.378025402618177,4
6.419173953602811,7
6.460322504587444,7
6.501471055572077,11
6.542619606556711,12
6.5837681575413445,6
6.624916708525977,11
6.666065259510611,8
6.707213810495245,10
6.748362361479878,12
6.789510912464511,15
6.830659463449145,18
6.871808014433778,11
6.912956565418411,16
6.954105116403045,18
6.995253667387678,28
7.036402218372312,35
7.077550769356945,52
7.1186993203415785,54
7.159847871326212,78
7.200996422310845,86
7.242144973295479,115
7.283293524280112,146
7.324442075264746,170
7.365590626249379,190
7.406739177234012,190
7.447887728218646,210
7.489036279203279,252
7.530184830187912,255
7.571333381172546,265
7.61248193215718,258
7.6536304831418125,261
7.694779034126446,302
7.73592758511108,302
7.777076136095713,288
7.818224687080346,247
7.85937323806498,230
7.900521789049613,215
7.941670340034246,182
7.98281889101888,139
8.023967442003514,127
8.065115992988147,87
8.106264543972781,78
8.147413094957413,49
8.188561645942046,29
8.22971019692668,30
8.270858747911314,23
8.312007298895947,26
8.353155849880581,24
8.394304400865215,29
8.435452951849847,29
8.47660150283448,27
8.517750053819114,25
8.558898604803748,33
8.600047155788381,11
8.641195706773015,22
8.682344257757649,29
8.72349280874228,22
8.764641359726914,20
8.805789910711548,24
8.846938461696181,24
8.888087012680815,13
8.929235563665449,16
8.97038411465008,10
9.011532665634714,14
9.052681216619348,11
9.093829767603982,14
9.134978318588615,12
9.176126869573249,8
9.217275420557883,4
9.258423971542515,15
9.299572522527148,9
9.340721073511782,9
9.381869624496415,14
9.42301817548105,12
9.464166726465683,12
9.505315277450316,14
9.546463828434948,16
9.587612379419582,12
9.628760930404216,12
9.66990948138885,15
