energy (keV),counts
0.0,0
0.042201814511656825,0
0.08440362902331365,0
0.12660544353497047,0
0.1688072580466273,0
0.21100907255828413,0
0.25321088706994094,0
0.29541270158159777,0
0.3376145160932546,0
0.37981633060491143,0
0.42201814511656827,0
0.4642199596282251,0
0.5064217741398819,4368053
0.5486235886515387,2906719
0.5908254031631955,1386514
0.6330272176748524,614922
0.6752290321865092,263308
0.717430846698166,114454
0.7596326612098229,55260
0.8018344757214797,31124
0.8440362902331365,21285
0.8862381047447934,15888
0.9284399192564502,12526
0.970641733768107,10055
1.0128435482797638,8228
1.0550453627914207,6850
1.0972471773030774,5980
1.1394489918147344,5198
1.181650806326391,4923
1.223852620838048,4791
1.2660544353497047,4451
1.3082562498613617,4215
1.3504580643730184,3907
1.3926598788846751,3644
1.434861693396332,3184
1.4770635079079888,2607
1.5192653224196457,2364
1.5614671369313025,1992
1.6036689514429594,1629
1.6458707659546161,1431
1.688072580466273,1189
1.7302743949779298,1085
1.7724762094895867,851
1.8146780240012435,796
1.8568798385129004,633
1.8990816530245571,608
1.941283467536214,545
1.9834852820478708,468
2.0256870965595275,417
2.067888911071184,368
2.1100907255828414,258
2.152292540094498,173
2.194494354606155,112
2.2366961691178116,68
2.2788979836294687,39
2.3210997981411254,21
2.363301612652782,10
2.405503427164439,14
2.447705241676096,4
2.4899070561877528,5
2.5321088706994095,9
2.574310685211066,4
2.6165124997227234,2
2.65871431423438,2
2.700916128746037,9
2.7431179432576935,2
2.7853197577693503,4
2.8275215722810074,4
2.869723386792664,3
2.911925201304321,3
2.9541270158159776,1
2.9963288303276348,0
3.0385306448392915,2
3.080732459350948,2
3.122934273862605,2
3.165136088374262,1
3.207337902885919,2
3.2495397173975755,2
3.2917415319092322,3
3.3339433464208894,3
3.376145160932546,0
3.418346975444203,2
3.4605487899558596,0
3.5027506044675163,1
3.5449524189791735,2
3.58715423349083,1
3.629356048002487,0
3.6715578625141436,0
3.713759677025801,0
3.7559614915374575,1
3.7981633060491142,0
3.840365120560771,0
3.882566935072428,1
3.924768749584085,0
3.9669705640957416,0
4.009172378607398,1
4.051374193119055,0
4.093576007630712,1
4.135777822142368,2
4.177979636654026,0
4.220181451165683,2
4.2623832656773395,1
4.304585080188996,0
4.346786894700653,0
4.38898870921231,0
4.431190523723966,2
4.473392338235623,0
4.515594152747281,0
4.557795967258937,0
4.599997781770594,1
4.642199596282251,0
4.684401410793908,0
4.726603225305564,1
4.768805039817221,1
4.811006854328878,1
4.8532086688405345,0
4.895410483352192,1
4.937612297863849,1
4.9798141123755055,1
5.022015926887162,1
5.064217741398819,0
5.106419555910476,1
5.148621370422132,1
5.190823184933789,1
5.233024999445447,2
5.2752268139571035,0
5.31742862846876,1
5.359630442980417,0
5.401832257492074,0
5.44403407200373,0
5.486235886515387,2
5.528437701027044,0
5.5706395155387005,1
5.612841330050358,0
5.655043144562015,1
5.697244959073672,0
5.739446773585328,1
5.781648588096985,0
5.823850402608642,0
5.8660522171202985,0
5.908254031631955,0
5.950455846143613,0
5.9926576606552695,1
6.034859475166926,0
6.077061289678583,0
6.11926310419024,1
6.161464918701896,3
6.203666733213553,0
6.24586854772521,0
6.2880703622368666,0
6.330272176748524,0
6.372473991260181,1
6.414675805771838,0
6.456877620283494,0
6.499079434795151,0
6.541281249306808,0
6.5834830638184645,1
6.625684878330121,0
6.667886692841779,1
6.7100885073534355,1
6.752290321865092,0
6.794492136376749,1
6.836693950888406,0
6.878895765400062,1
6.921097579911719,0
6.963299394423376,1
7.005501208935033,0
7.04770302344669,0
7.089904837958347,0
7.132106652470004,0
7.17430846698166,0
7.216510281493317,1
7.258712096004974,1
7.3009139105166305,1
7.343115725028287,1
7.385317539539945,0
7.427519354051602,0
7.469721168563258,1
7.511922983074915,2
7.554124797586572,0
7.5963266120982285,0
7.638528426609885,0
7.680730241121542,0
7.722932055633199,1
7.765133870144856,1
7.807335684656513,1
7.84953749916817,0
7.891739313679826,1
7.933941128191483,0
7.97614294270314,1
8.018344757214797,0
8.060546571726453,1
8.10274838623811,4
8.144950200749767,2
8.187152015261423,2
8.22935382977308,1
8.271555644284737,1
8.313757458796395,3
8.355959273308052,6
8.398161087819709,3
8.440362902331366,1
8.482564716843022,2
8.524766531354679,4
8.566968345866336,0
8.609170160377992,0
8.65137197488965,0
8.693573789401306,1
8.735775603912963,1
8.77797741842462,0
8.820179232936276,1
8.862381047447933,0
8.90458286195959,1
8.946784676471246,1
8.988986490982903,0
9.031188305494561,3
9.073390120006218,1
9.115591934517875,1
9.157793749029532,1
9.199995563541188,1
9.242197378052845,5
9.284399192564502,3
9.326601007076158,3
9.368802821587815,7
9.411004636099472,12
9.453206450611129,18
9.495408265122785,20
9.537610079634442,14
9.579811894146099,14
9.622013708657756,14
9.664215523169412,17
9.706417337681069,11
9.748619152192727,6
9.790820966704384,4
9.833022781216041,5
9.875224595727698,2
9.917426410239354,1
9.959628224751011,1
10.001830039262668,0
10.044031853774325,0
10.086233668285981,0
10.128435482797638,2
10.170637297309295,0
10.212839111820951,0
10.255040926332608,0
10.297242740844265,0
10.339444555355922,0
10.381646369867578,2
10.423848184379235,0
10.466049998890893,0
10.50825181340255,1
10.550453627914207,2
10.592655442425864,1
10.63485725693752,0
10.677059071449177,0
10.719260885960834,1
10.76146270047249,2
10.803664514984147,1
10.845866329495804,4
10.88806814400746,3
10.930269958519117,6
10.972471773030774,9
11.01467358754243,12
11.056875402054088,8
11.099077216565744,11
11.141279031077401,17
11.18348084558906,16
11.225682660100716,12
11.267884474612373,7
11.31008628912403,15
11.352288103635686,12
11.394489918147343,7
11.436691732659,10
11.478893547170657,6
11.521095361682313,5
11.56329717619397,6
11.605498990705627,7
11.647700805217283,2
11.68990261972894,6
11.732104434240597,3
11.774306248752254,3
11.81650806326391,3
11.858709877775567,15
11.900911692287226,0
11.943113506798882,2
11.985315321310539,7
12.027517135822196,9
12.069718950333852,8
12.11192076484551,10
12.154122579357166,7
12.196324393868823,0
12.23852620838048,7
12.280728022892136,7
12.322929837403793,3
12.36513165191545,2
12.407333466427106,1
12.449535280938763,1
12.49173709545042,2
12.533938909962076,0
12.576140724473733,0
12.618342538985392,0
12.660544353497048,2
12.702746168008705,0
12.744947982520362,0
12.787149797032018,0
12.829351611543675,2
12.871553426055332,5
12.913755240566989,3
12.955957055078645,1
12.998158869590302,4
13.040360684101959,3
13.082562498613616,5
13.124764313125272,1
13.166966127636929,5
13.209167942148586,7
13.251369756660242,1
13.2935715711719,5
13.335773385683558,6
13.377975200195214,2
13.420177014706871,4
13.462378829218528,5
13.504580643730185,9
13.546782458241841,5
13.588984272753498,3
13.631186087265155,10
13.673387901776811,21
13.715589716288468,23
13.757791530800125,37
13.799993345311782,43
13.842195159823438,55
13.884396974335095,78
13.926598788846752,73
13.968800603358408,97
14.011002417870065,120
14.053204232381724,148
14.09540604689338,131
14.137607861405037,105
14.179809675916694,101
14.22201149042835,82
14.264213304940007,62
14.306415119451664,51
14.34861693396332,38
14.390818748474977,22
14.433020562986634,13
14.47522237749829,3
14.517424192009948,7
14.559626006521604,3
14.601827821033261,1
14.644029635544918,3
14.686231450056574,0
14.728433264568231,1
14.77063507907989,1
14.812836893591546,1
14.855038708103203,1
14.89724052261486,1
14.939442337126517,1
14.981644151638173,1
15.02384596614983,0
15.066047780661487,2
15.108249595173143,1
15.1504514096848,1
15.192653224196457,1
15.234855038708114,1
15.27705685321977,0
15.319258667731427,1
15.361460482243084,0
15.40366229675474,0
15.445864111266397,1
15.488065925778056,0
15.530267740289712,1
15.57246955480137,0
15.614671369313026,0
15.656873183824683,2
15.69907499833634,2
15.741276812847996,3
15.783478627359653,1
15.82568044187131,7
15.867882256382966,3
15.910084070894623,2
15.95228588540628,11
15.994487699917936,6
16.036689514429593,4
16.07889132894125,4
16.121093143452907,4
16.163294957964563,10
16.20549677247622,5
16.247698586987877,9
16.289900401499533,0
16.33210221601119,1
16.374304030522847,4
16.416505845034504,2
16.45870765954616,4
16.500909474057817,4
16.543111288569474,9
16.585313103081134,5
16.62751491759279,4
16.669716732104447,12
16.711918546616104,11
16.75412036112776,11
16.796322175639418,16
16.838523990151074,31
16.88072580466273,18
16.922927619174388,32
16.965129433686045,29
17.0073312481977,49
17.049533062709358,35
17.091734877221015,56
17.13393669173267,49
17.176138506244328,44
17.218340320755985,27
17.26054213526764,26
17.3027439497793,26
17.344945764290955,16
17.38714757880261,13
17.42934939331427,14
17.471551207825925,11
17.513753022337582,23
17.55595483684924,27
17.598156651360895,40
17.640358465872552,59
