mu,muErr,muRErr,E,sigma,sigmaErr,sigmaRErr,A,AErr,ARErr,intCounts,xBound1,xBound2
613.663916279954,0.21362604186410386,0.000348115696877063,11.871,4.737870511389713,0.2166137724386267,0.04571964808195856,1453.4524748123956,57.0233315692675,0.0392330210704879,1544.0,601.9572580645162,625.998689516129
720.1632448641949,0.09946057247161628,0.0001381083708185803,13.946,4.870500023602969,0.09949999921071408,0.020429113792942478,15178.981407761443,268.4773532667726,0.017687441999862556,15409.0,700.6204385080647,735.9415826612905
873.7201277219924,0.4598309088041754,0.0005262908501410743,16.816,8.495813195042087,0.4621983925642676,0.0544030785462648,4460.574979666759,209.44322557763215,0.046954311166691624,4376.0,851.4374243951614,894.8135458669354
916.0172480797586,0.10503873537724048,0.00011466894929918901,17.751,5.4964013507291405,0.10504983025933591,0.019112474427545257,10153.17778119207,168.0427717293161,0.016550756359314574,11201.0,890.8340851814515,945.105695564516
